"gara_id","application_name","author_id","builder_id","contractor_id","designer_id","engine_id","manager_id","status","decision_date","region_name","city_id","type","turn","network","period_month","start_date","end_date","class","flat_area","build_qty","build_floor","build_area","com_area","park_area","flat_qty","com_qty","park_qty","flat_onerm","flat_tworm","flat_threerm","flat_fourrm","cost_plan","flat_msprice","build_mscost","flat_mscost","com_msprice","park_price","self_cost","unfin_cost","share_cost","warr_cost","comm_cost","cost_official","flat_inner","flat_height","dpg_date","dpg_num","dpg_add_num","dpg_num_text","prolongation","update_date","state_id","create_date","annul_date","state_name"
"729352","Заявка на гарантирование - 335","000540001174","960340000376","960340000376","000000000000","221040019008","190440041404",NULL,NULL,"","18178","Стандартный","5, 7","будут выполнены за счет застройщика","13.0","2022-11-03","2023-12-03","4","9633.7",NULL,"8, 10","9633.7","7631.2","313.3","96","2",NULL,"16","34","32",NULL,"2228233","360000","231","231295","400000",NULL,"334234882","33160000","1893997659","21950725.41",NULL,"2228232541","предчистовая",NULL,"2023-06-21","58","7","ДС7 21.06.23 к ДПГ-21-01-001/058",NULL,"2024-06-04 14:03:30.466878","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
"746713","Заявка на гарантирование - 373","920740001597","080440009616","080440009616","000000000000","220840045438","220240012421",NULL,NULL,"","18194","Стандартный","4","имеются","10.0","2023-04-06","1970-01-11","4","4352.5",NULL,"5","4352.5","2544.2","117.2","58","3",NULL,"35","19","4",NULL,"1084238076","455450","249106","285000","525000",NULL,"108423807.6","227782244","975814268.4","8564558.32",NULL,NULL,NULL,NULL,NULL,"-123",NULL,"ДПГ - -23-05-052/133",NULL,"2024-11-27 15:00:00.7331","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
"790750","Заявка на гарантирование - 334","040440008640","960340000376","960340000376","000000000000","221040019008","190440041434",NULL,NULL,"","18178","Стандартный","","имеются","21.0","2022-11-03","1970-01-04","4","19350.28",NULL,"8,12,14","19350.28","16324.11","1398.43","141","12",NULL,"26","35","40",NULL,"3413044920","330000","176382","176382","330000",NULL,"511956738","491377749","2901088182","29216671.71",NULL,"3413044920","улучшенная черновая",NULL,"2023-08-11","54","9","дс9 11.08.23 к ДПГ-21-01-001/054",NULL,"2024-06-04 14:03:30.466878","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
"845821","Заявка на гарантирование - 407","080340014639","060340004172","060340004172","000000000000","130440013597","210940020852",NULL,NULL,"","18277","Стандартный","","иное","9.0","2023-06-12","2024-03-12","4","11723",NULL,"9","11723","6650.8","1070.64","80","2","1635","8","40","24",NULL,"2705190883","430000","230759","430000","450000","2000000","297232260","297232260","2637281101","26372811.01",NULL,"2934513361","чистовая",NULL,"2023-09-14","151","1","ДПГ-23-13-050/151",NULL,"2024-06-04 14:03:30.466878","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
"781580","Заявка на гарантирование - 379","051140007031","981040003722","981040003722","000000000000","070540013765","210940016011",NULL,NULL,"Актюбинская область","18267","Стандартный","","будут выполнены за счет застройщика","14.0","2022-10-21","2023-12-21","3","6698.3",NULL,"5","6698.3","4842",NULL,"60",NULL,NULL,"20","20","20",NULL,"1226556104","267500","183114","242690",NULL,NULL,"183983415.6","184533416","1042572688.4","10420226.88",NULL,"1226556104","чистовая",NULL,"2023-07-04","144",NULL,"ДПГ-23-04-063/144",NULL,"2024-06-04 14:03:30.466878","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
"157",NULL,"960340000376","960340000376","030340009643","960340000376","050540005384","160640015734","Завершенный","2017-08-21","г. Алматы ","18194","Стандартный","1",NULL,"19.0","2017-06-09","2018-12-20","4","35371.3","6.0","15,14,16,14,14,15","35371.3","567.6","0","400","0","0",NULL,NULL,NULL,NULL,"6866978000","365000",NULL,"247500",NULL,NULL,"686697800","656656000","212000","137339562","1134500","6866978080","черновая","3.04","2017-09-22","2","0","ДПГ-17-02-001/002","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"187",NULL,NULL,"030840000638",NULL,NULL,"120840001080","210440006727","Действующий","2022-06-28","г. Алматы ","18194","Стандартный",NULL,"Наружные инженерные сети будут подведены за счет средств Застройщика","21.0","2021-11-24","2023-08-24","4","46642.3","8.0","9","69740.89","0","5021.9","1034","0","160","748","99","187","0","17142923032","380000",NULL,"264883",NULL,"1000000","1714292303","2975001686","300000","141679213","1531500","17142923032","предчистовая","2.8","2022-09-01","114","0","ДПГ-22-02-041/114",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"144",NULL,NULL,"080740001641",NULL,NULL,NULL,NULL,"Действующий","2022-08-23","Костанайская обл.","18274","Стандартный",NULL,"Строительство инженерных сетей за счет средств Застройщика (вх. письмо №6/1 от 23.05.2022 г.)","18.0","2022-04-28","2023-02-28","4","8128","2.0","4","12055.2","0","0","132","0","0","56","40","32","0","1763181636","258076",NULL,"171726",NULL,NULL,"176318164","208972455","120000","15542092","918900","1763181636",NULL,"2.7","2022-09-19","121","0","ДПГ-22-10-056/121",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"132",NULL,"100740005727","040740007732","030440002947","100740005727","120840001080","100740005727","Действующий","2021-08-10","г. Астана","18178","Стандартный",NULL,"Проект на ИКИ в разработке, строительство за счет средств дольщиков с получением гарантии","19.0","2021-06-17","2023-04-17","4","19231.7","9.0","9, 1","34795.9","2121","4695.3","312","24","298","111","161","31","0","6278976341","306479",NULL,"180452","368116","2000000","941846451","951073513","161800","53279028","1458500","6278976341","черновая","2.7","2021-08-20","79","0","ДПГ-21-01-035/079",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"892091","Заявка на гарантирование - 418","080840004560","110540015593","110540015593","000000000000","130440013597","210840011146",NULL,NULL,"","18178","Стандартный","","имеются","13.0","2023-06-02","2024-06-02","4","16162.59",NULL,"17","16162.59","12803.11","101.74","257","2",NULL,"148","74","35",NULL,"7244730899","567724","448240","561396","1100000",NULL,"724473089.9","50843096","6520257809.1","71938878.03",NULL,"7244730899","черновая",NULL,"2023-09-28","145","1","дс1 27.09.23 к ДПГ-23-01-008/145",NULL,"2024-06-04 14:03:30.466878","15320","2024-03-08 16:16:36.330524",NULL,"Актуальная гарантия"
